Test,NumParties,NumRows,Value,TotalRuntime,AuditRuntime,SetupTime,NumCols
Chi-Squared,5,10000,6.000000022351742,71.92447688,3.485364455,0.432919284,10
Chi-Squared,3,108,51.85185184981674,18.68266268,0.023384037,0.002873521,4
Pearson,5,1000,0.0031259296941654976,19.048648635,0.654842275,0.084388504,2
T-Test,5,5000,0.0290929051777481,22.079246471,2.955181364,0.316515303,2
Pearson,11,5000,0.0197427032080297,59.802835493,3.263577517,0.401296038,2
Pearson,11,4177,0.8336836878086472,56.999136322,2.740375898,0.338050638,2
T-Test,3,4177,161.74187470310991,18.137556243,2.648294787,0.317307379,2
Chi-Squared,11,1000,12.160000043921173,303.563673475,0.160251397,0.041599125,10
Pearson,5,4177,0.8336836878086472,23.983233821,2.660516844,0.32104973,2
Chi-Squared,5,10000,25.15200009290129,175.948298128,6.286623305,0.869934816,20
Pearson,5,5000,0.019742726794516528,26.874339889,3.284438136,0.409540979,2
T-Test,3,10000,0.34220195471921133,25.659603108,6.5254436689999995,0.724789884,2
Chi-Squared,5,5000,10.808000040240586,80.205345666,1.8866050090000002,0.191499875,10
Chi-Squared,3,1000,20.28000007662922,69.296395166,1.149358661,0.083144171,20
Chi-Squared,3,1000,7.800000028684735,21.415008963,0.137815816,0.021157767,5
T-Test,3,1000,0.19469008214028097,13.413754751,0.656802133,0.072450719,2
Pearson,3,10000,0.011239587150386884,35.926310844,6.60610789,0.77487866,2
Chi-Squared,3,5000,2.4240000089630485,23.869315722,1.661688235,0.100649535,5
Chi-Squared,11,10000,25.152000093832612,591.591020429,3.058483437,0.829626657,20
Pearson,11,5000,0.0197427032080297,59.331103002,3.223967472,0.384712752,2
Pearson,11,4177,0.8336836878086472,55.935287038,2.711483014,0.31176102,2
Chi-Squared,3,1000,12.160000045783818,42.600306434,0.526754091,0.043810048,10
T-Test,11,10000,0.3422019751308981,61.806019822,6.535927411,0.714709782,2
Chi-Squared,11,10000,6.000000022351742,298.659831293,1.482884592,0.412487193,10
Chi-Squared,5,5000,15.952000059187412,139.267178654,3.095825633,0.389605703,20
Chi-Squared,11,1000,12.160000045783818,327.138556647,0.164579978,0.046369821,10
T-Test,11,1000,0.1946900869238968,42.842196859,0.663427584,0.07168411,2
Chi-Squared,11,1000,7.800000028684735,133.55529002,0.074156916,0.017686036,5
Chi-Squared,5,10000,2.9430000111460686,39.568994162,1.56529967,0.225461368,5
Chi-Squared,5,10000,25.15200009290129,160.100717712,7.704675495,1.739286801,20
T-Test,3,5000,0.02909284115364369,22.093209278,2.988274529,0.311635743,2
Pearson,3,1000,0.0031257807233219326,14.158298158,0.647731056,0.075252228,2
Chi-Squared,11,1000,20.280000073835254,560.675241539,0.359363326,0.07461875,20
Pearson,3,4177,0.8336836878086472,21.164360249,2.7334474,0.32134296,2
Pearson,3,5000,0.019742726794516528,24.83855089,3.299084711,0.404676713,2
Chi-Squared,11,5000,2.4240000089630485,165.510368066,0.421446288,0.084588227,5
Chi-Squared,3,10000,25.15200009290129,74.651373208,8.205225499,0.818923122,20
Pearson,3,1000,0.0031259296941654976,15.764678786,0.587864853,0.066218729,2
T-Test,3,5000,0.02909284115364369,16.674149459,2.866154622,0.319679704,2
T-Test,11,4177,161.63255688736317,50.170349135,2.731407443,0.30943435,2
T-Test,11,5000,0.02909300121364054,52.409152807,3.255529375,0.37810465,2
T-Test,5,4177,161.74187574889518,25.20360162,2.690855719,0.30089286,2
Chi-Squared,3,10000,6.000000022351742,36.794645898,5.288482329,0.410877983,10
Chi-Squared,11,10000,2.9430000111460686,166.935365384,0.839061758,0.209309358,5
Chi-Squared,5,108,51.85185184981674,34.072668455,0.017060383,0.002896678,4
Chi-Squared,5,5000,2.4240000089630485,45.40038385,1.241074913,0.103187906,5
Pearson,11,1000,0.0031259296941654976,44.851438875,0.651347045,0.071989368,2
Chi-Squared,11,10000,6.000000022351742,309.703335813,1.525039952,0.438523684,10
Chi-Squared,11,5000,10.808000040240586,301.050774593,1.236282808,0.237542336,10
Pearson,5,10000,0.011239545719848617,44.729069148,6.634541145,0.810451229,2
Chi-Squared,5,1000,20.280000073835254,141.823772396,0.624988915,0.091115583,20
Chi-Squared,5,1000,7.800000028684735,38.024538176,0.085338952,0.020728946,5
T-Test,5,1000,0.19469008453208891,19.967979296,0.66199232,0.07112715,2
Chi-Squared,11,5000,15.95200005825609,588.026169691,1.4884714940000001,0.427867887,20
T-Test,5,10000,0.34220196016232796,32.744860256,6.447433095,0.703432428,2
Chi-Squared,3,5000,10.808000040240586,42.249288472,2.620288016,0.236371664,10
Chi-Squared,3,5000,15.952000059187412,69.356822385,5.009535546,0.442565081,20
Chi-Squared,5,1000,12.160000044852495,82.335836984,0.321606925,0.045785207,10
Chi-Squared,11,108,51.851851841434836,128.447236097,0.010025835,0.003509291,4
Chi-Squared,11,5000,10.808000040240586,306.120607165,0.781085122,0.211598065,10
Pearson,5,1000,0.0031257807233219326,18.687966272,0.604249571,0.068605286,2
T-Test,5,5000,0.029092889171735206,24.844128282,2.931807081,0.349043914,2
